Número.,Total sorteado.,Total Premiado,Último sorteio
53,294,62,30/11/2022
10,292,82,17/12/2022
5,281,90,26/11/2022
37,278,66,10/12/2022
33,276,75,17/12/2022
42,276,71,27/07/2022
23,275,68,14/12/2022
41,272,53,19/11/2022
4,272,65,13/10/2022
30,272,44,17/12/2022
28,269,59,07/12/2022
38,269,59,10/12/2022
44,268,49,29/10/2022
34,268,64,07/12/2022
17,267,68,26/10/2022
35,266,59,17/12/2022
27,266,66,26/11/2022
54,266,59,31/08/2022
56,264,59,30/11/2022
29,264,62,14/12/2022
32,264,61,03/12/2022
16,264,61,05/10/2022
51,263,54,03/11/2022
43,263,54,05/10/2022
49,263,62,19/11/2022
11,262,64,16/07/2022
36,262,68,03/12/2022
8,260,70,19/11/2022
24,260,63,09/11/2022
2,259,49,26/11/2022
13,257,63,01/10/2022
52,255,46,12/11/2022
6,254,65,17/12/2022
46,254,52,26/11/2022
45,249,54,30/11/2022
20,248,55,03/12/2022
18,248,52,26/10/2022
1,248,69,17/12/2022
58,246,55,15/09/2022
12,246,71,24/11/2022
50,246,36,24/08/2022
25,244,62,14/12/2022
47,243,43,22/11/2022
59,243,47,22/11/2022
57,243,53,10/12/2022
40,243,48,21/09/2022
39,243,57,03/12/2022
19,242,52,12/11/2022
60,241,34,29/10/2022
31,239,36,10/12/2022
14,239,63,22/10/2022
9,238,58,14/12/2022
3,238,73,07/12/2022
7,238,57,20/08/2022
48,235,58,07/12/2022
22,228,49,24/11/2022
15,224,56,14/12/2022
55,218,39,30/11/2022
21,218,48,01/10/2022
26,211,43,24/11/2022
